295	5.000	-60.000	
301	5.000	-60.000	
313	5.000	-60.000	
333	5.000	-60.000	
267	5.000	-60.000	
337	5.000	-60.000	
314	5.000	-60.000	
261	5.000	-60.000	
308	5.000	-60.000	
281	5.000	-60.000	
299	5.000	-60.000	
285	5.000	-60.000	
322	5.000	-60.000	
256	5.000	-60.000	
272	5.000	-60.000	
271	5.000	-60.000	
327	5.000	-60.000	
311	6.000	-60.000	
268	6.000	-60.000	
324	6.000	-60.000	
332	6.000	-60.000	
258	6.000	-60.000	
296	6.000	-60.000	
280	6.000	-60.000	
288	6.000	-60.000	
269	6.000	-60.000	
276	6.000	-60.000	
335	6.000	-60.000	
257	6.000	-60.000	
318	6.000	-60.000	
279	6.000	-60.000	
336	6.000	-60.000	
307	6.000	-60.000	
325	6.000	-60.000	
259	6.000	-60.000	
287	6.000	-60.000	
309	6.000	-60.000	
297	6.000	-60.000	
312	6.000	-60.000	
323	6.000	-60.000	
338	6.000	-60.000	
289	6.000	-60.000	
262	6.000	-60.000	
305	6.000	-60.000	
316	6.000	-60.000	
303	6.000	-60.000	
282	6.000	-60.000	
300	6.000	-60.000	
283	6.000	-60.000	
340	6.000	-60.000	
295	6.000	-60.000	
301	6.000	-60.000	
313	6.000	-60.000	
333	6.000	-60.000	
267	6.000	-60.000	
337	6.000	-60.000	
314	6.000	-55.008	
261	6.000	-60.000	
308	6.000	-60.000	
281	6.000	-60.000	
299	6.000	-60.000	
285	6.000	-60.000	
322	6.000	-60.000	
256	6.000	-60.000	
272	6.000	-60.000	
271	6.000	-60.000	
327	6.000	-60.000	
311	7.000	-60.000	
268	7.000	-60.000	
324	7.000	-60.000	
332	7.000	-60.000	
258	7.000	-60.000	
296	7.000	-60.000	
280	7.000	-60.000	
288	7.000	-60.000	
269	7.000	-60.000	
276	7.000	-60.000	
335	7.000	-60.000	
257	7.000	-60.000	
318	7.000	-60.000	
279	7.000	-60.000	
336	7.000	-60.000	
307	7.000	-60.000	
325	7.000	-60.000	
259	7.000	-60.000	
287	7.000	-60.000	
